nomfichier, ngeste, framedebut, framefin, score
P11_01.mts, 1, 1, 28, 4
P11_01.mts, 2, 29, 53, 4.5 
P11_01.mts, 3, 54, 77, 4.5
P11_01.mts, 4, 78, 110, 4
P11_01.mts, 5, 111, 140, 4
P11_01.mts, 6, 141, 168, 3
P11_01.mts, 7, 169, 178, 4
P11_01.mts, 8, 179, 216, 5
P11_01.mts, 9, 217, 230, 2
P11_02.mts, 1, 25, 43, 3.5
P11_02.mts, 2, 44, 63, 4 
P11_02.mts, 3, 64, 84, 4
P11_02.mts, 4, 85, 109, 0
P11_02.mts, 5, 110, 135, 4.5
P11_02.mts, 6, 136, 155, 4
P11_02.mts, 7, 156, 174, 3.5
P11_02.mts, 8, 175, 189, 5
P11_02.mts, 9, 190, 230, 4
P11_03.mts, 1, 55, 76, 0
P11_03.mts, 2, 77, 84, 0
P11_03.mts, 3, 85, 98, 2
P11_03.mts, 4, 99, 114, 0 
P11_03.mts, 5, 115, 135, 1
P11_03.mts, 6, 136, 142, 0
P11_03.mts, 7, 143, 158, 2
P11_03.mts, 8, 159, 170, 1
P11_03.mts, 9, 171, 187, 0
P11_04.mts, 1, 83, 94, 2
P11_04.mts, 2, 95, 106, 3
P11_04.mts, 3, 107, 115, 3.5
P11_04.mts, 4, 116, 127, 0
P11_04.mts, 5, 128, 140, 2
P11_04.mts, 6, 141, 152, 3
P11_04.mts, 7, 153, 161, 4
P11_04.mts, 8, 162, 169, 0
P11_04.mts, 9, 170, 190, 0
P11_05.mts, 1, 75, 84, 3
P11_05.mts, 2, 85, 92, 3
P11_05.mts, 3, 93, 101, 4
P11_05.mts, 4, 102, 111, 2
P11_05.mts, 5, 112, 121, 2
P11_05.mts, 6, 122, 129, 4
P11_05.mts, 7, 130, 138, 4
P11_05.mts, 8, 139, 151, 0
P11_05.mts, 9, 152, 185, 1
P11_06.mts, 1, 40, 64, 3.5
P11_06.mts, 2, 65, 88, 4
P11_06.mts, 3, 89, 116, 4
P11_06.mts, 4, 117, 135, 0
P11_06.mts, 5, 136, 177, 4.5
P11_06.mts, 6, 178, 203, 5
P11_06.mts, 7, 204, 220, 3.5
P11_06.mts, 8, 221, 241, 5
P11_06.mts, 9, 242, 268, 3.5
P11_07.mts, 1, 19, 41, 3.5
P11_07.mts, 2, 42, 61, 4
P11_07.mts, 3, 62, 84, 4.5
P11_07.mts, 4, 85, 104, 1 
P11_07.mts, 5, 105, 134, 4.5
P11_07.mts, 6, 135, 154, 4
P11_07.mts, 7, 155, 171, 4.5
P11_07.mts, 8, 172, 192, 4
P11_07.mts, 9, 193, 228, 3.5
P11_08.mts, 1, 67, 79, 3
P11_08.mts, 2, 80, 94, 1
P11_08.mts, 3, 95, 104, 3
P11_08.mts, 4, 105, 120, 1
P11_08.mts, 5, 121, 136, 4
P11_08.mts, 6, 137, 150, 4.5
P11_08.mts, 7, 151, 160, 4
P11_08.mts, 8, 161, 173, 5
P11_08.mts, 9, 174, 203, 2.5
P11_09.mts, 1, 67, 75, 2
P11_09.mts, 2, 76, 88, 2
P11_09.mts, 3, 89, 97, 2.5 
P11_09.mts, 4, 98, 111, 1
P11_09.mts, 5, 112, 124, 2
P11_09.mts, 6, 125, 136, 4
P11_09.mts, 7, 137, 145, 0
P11_09.mts, 8, 146, 150, 2.5
P11_09.mts, 9, 151, 172, 0
P11_10.mts, 1, 67, 76, 2
P11_10.mts, 2, 77, 84, 3
P11_10.mts, 3, 85, 95, 4
P11_10.mts, 4, 96, 106, 1
P11_10.mts, 5, 107, 117, 2
P11_10.mts, 6, 118, 127, 3
P11_10.mts, 7, 128, 136, 2.5
P11_10.mts, 8, 137, 144, 2 
P11_10.mts, 9, 145, 170, 2
