nomfichier, ngeste, framedebut, framefin, score
P12_01.mts, 1, 1, 22, 3
P12_01.mts, 2, 23, 44, 4
P12_01.mts, 3, 45, 72, 5
P12_01.mts, 4, 73, 107, 4.5
P12_01.mts, 5, 108, 133, 4 
P12_01.mts, 6, 134, 161, 5
P12_01.mts, 7, 162, 184, 3.5
P12_01.mts, 8, 185, 204, 5
P12_01.mts, 9, 205, 250, 4.75
P12_02.mts, 1, 1, 22, 4
P12_02.mts, 2, 23, 41, 4.5 
P12_02.mts, 3, 42, 61, 5
P12_02.mts, 4, 62, 88, 5
P12_02.mts, 5, 89, 115, 4
P12_02.mts, 6, 116, 135, 4.5
P12_02.mts, 7, 136, 153, 3.5
P12_02.mts, 8, 154, 171, 4.5
P12_02.mts, 9, 172, 220, 5
P12_03.mts, 1, 49, 62, 4
P12_03.mts, 2, 63, 74, 5
P12_03.mts, 3, 75, 86, 4.5
P12_03.mts, 4, 87, 102, 5
P12_03.mts, 5, 103, 119, 4.5
P12_03.mts, 6, 120, 131, 4
P12_03.mts, 7, 132, 143, 4
P12_03.mts, 8, 144, 157, 5
P12_03.mts, 9, 158, 190, 3.5
P12_04.mts, 1, 48, 56, 3
P12_04.mts, 2, 57, 67, 4 
P12_04.mts, 3, 68, 76, 4
P12_04.mts, 4, 77, 90, 5
P12_04.mts, 5, 91, 105, 2
P12_04.mts, 6, 106, 113, 3.5
P12_04.mts, 7, 114, 125, 4
P12_04.mts, 8, 126, 135, 5
P12_04.mts, 9, 136, 170, 4
P12_05.mts, 1, 50, 57, 2
P12_05.mts, 2, 58, 65, 4
P12_05.mts, 3, 66, 73, 4
P12_05.mts, 4, 74, 84, 5
P12_05.mts, 5, 85, 94, 4
P12_05.mts, 6, 95, 104, 3
P12_05.mts, 7, 105, 114, 2
P12_05.mts, 8, 115, 124, 4
P12_05.mts, 9, 125, 160, 4
P12_06.mts, 1, 36, 63, 4
P12_06.mts, 2, 64, 82, 5
P12_06.mts, 3, 83, 112, 4
P12_06.mts, 4, 113, 151, 5
P12_06.mts, 5, 152, 176, 4.5
P12_06.mts, 6, 177, 208, 3
P12_06.mts, 7, 209, 228, 4
P12_06.mts, 8, 229, 250, 5
P12_06.mts, 9, 251, 300, 4
P12_07.mts, 1, 11, 28, 4
P12_07.mts, 2, 29, 45, 4
P12_07.mts, 3, 46, 67, 4
P12_07.mts, 4, 68, 97, 5 
P12_07.mts, 5, 98, 119, 3.5
P12_07.mts, 6, 120, 143, 3
P12_07.mts, 7, 144, 159, 3
P12_07.mts, 8, 160, 180, 5
P12_07.mts, 9, 181, 225, 4
P12_08.mts, 1, 44, 55, 2.5
P12_08.mts, 2, 56, 70, 4
P12_08.mts, 3, 71, 83, 4 
P12_08.mts, 4, 84, 99, 4.5
P12_08.mts, 5, 100, 115, 4.5
P12_08.mts, 6, 116, 130, 4
P12_08.mts, 7, 131, 142, 3.5
P12_08.mts, 8, 143, 155, 4.5
P12_08.mts, 9, 156, 192, 4
P12_09.mts, 1, 46, 58, 3
P12_09.mts, 2, 59, 68, 4
P12_09.mts, 3, 69, 77, 4 
P12_09.mts, 4, 78, 91, 5
P12_09.mts, 5, 92, 102, 3
P12_09.mts, 6, 103, 109, 3
P12_09.mts, 7, 110, 120, 3
P12_09.mts, 8, 121, 131, 4.5
P12_09.mts, 9, 132, 160, 3.5
P12_10.mts, 1, 60, 68, 2
P12_10.mts, 2, 69, 76, 4
P12_10.mts, 3, 77, 86, 4
P12_10.mts, 4, 87, 97, 4.5
P12_10.mts, 5, 98, 108, 4 
P12_10.mts, 6, 109, 116, 3.5
P12_10.mts, 7, 117, 124, 2
P12_10.mts, 8, 125, 133, 4 
P12_10.mts, 9, 134, 168, 3.5
