nomfichier, ngeste, framedebut, framefin, score
P13_01.mts, 1, 1, 22, 4
P13_01.mts, 2, 23, 49, 4.5
P13_01.mts, 3, 50, 76, 4
P13_01.mts, 4, 77, 107, 4
P13_01.mts, 5, 108, 140, 4 
P13_01.mts, 6, 141, 171, 5
P13_01.mts, 7, 172, 191, 3.5
P13_01.mts, 8, 192, 215, 5
P13_01.mts, 9, 216, 258, 4
P13_02.mts, 1, 7, 27, 4
P13_02.mts, 2, 28, 45, 4.5 
P13_02.mts, 3, 46, 66, 4
P13_02.mts, 4, 67, 94, 4
P13_02.mts, 5, 95, 121, 4
P13_02.mts, 6, 122, 139, 4
P13_02.mts, 7, 140, 162, 3
P13_02.mts, 8, 163, 175, 4.5
P13_02.mts, 9, 176, 220, 4
P13_03.mts, 1, 55, 68, 1
P13_03.mts, 2, 69, 80, 1
P13_03.mts, 3, 81, 95, 2
P13_03.mts, 4, 96, 110, 4
P13_03.mts, 5, 111, 126, 4
P13_03.mts, 6, 127, 139, 4
P13_03.mts, 7, 140, 149, 1
P13_03.mts, 8, 150, 163, 5
P13_03.mts, 9, 164, 195, 3
P13_04.mts, 1, 68, 78, 2
P13_04.mts, 2, 79, 90, 1 
P13_04.mts, 3, 91, 100, 0
P13_04.mts, 4, 101, 110, 5
P13_04.mts, 5, 111, 123, 4.5
P13_04.mts, 6, 124, 134, 4.5
P13_04.mts, 7, 135, 143, 2
P13_04.mts, 8, 144, 153, 5
P13_04.mts, 9, 154, 179, 4
P13_05.mts, 1, 57, 66, 1
P13_05.mts, 2, 67, 73, 4.5
P13_05.mts, 3, 74, 80, 3 
P13_05.mts, 4, 81, 91, 3.5
P13_05.mts, 5, 92, 102, 4
P13_05.mts, 6, 103, 114, 4.5
P13_05.mts, 7, 115, 125, 4
P13_05.mts, 8, 126, 134, 2
P13_05.mts, 9, 135, 160, 2
P13_06.mts, 1, 42, 69, 3
P13_06.mts, 2, 70, 94, 3
P13_06.mts, 3, 95, 123, 4
P13_06.mts, 4, 124, 153, 4
P13_06.mts, 5, 154, 188, 4
P13_06.mts, 6, 189, 216, 4
P13_06.mts, 7, 217, 232, 3
P13_06.mts, 8, 233, 253, 5
P13_06.mts, 9, 254, 300, 5
P13_07.mts, 1, 25, 48, 4
P13_07.mts, 2, 49, 66, 4
P13_07.mts, 3, 67, 88, 3.5
P13_07.mts, 4, 89, 112, 4.5 
P13_07.mts, 5, 113, 143, 4
P13_07.mts, 6, 144, 163, 5
P13_07.mts, 7, 164, 180, 2
P13_07.mts, 8, 181, 200, 4.5
P13_07.mts, 9, 201, 240, 4.5
P13_08.mts, 1, 51, 65, 3.5
P13_08.mts, 2, 66, 77, 3.5
P13_08.mts, 3, 78, 87, 4
P13_08.mts, 4, 88, 103, 4
P13_08.mts, 5, 104, 121, 4.5
P13_08.mts, 6, 122, 134, 4
P13_08.mts, 7, 135, 145, 3.5
P13_08.mts, 8, 146, 158, 4.5
P13_08.mts, 9, 159, 190, 3.5
P13_09.mts, 1, 51, 60, 3.5
P13_09.mts, 2, 61, 71, 4
P13_09.mts, 3, 72, 78, 4.5 
P13_09.mts, 4, 79, 92, 4
P13_09.mts, 5, 93, 107, 5
P13_09.mts, 6, 108, 119, 5
P13_09.mts, 7, 120, 126, 3
P13_09.mts, 8, 127, 136, 4
P13_09.mts, 9, 137, 165, 3.5
P13_10.mts, 1, 68, 75, 1
P13_10.mts, 2, 76, 83, 3
P13_10.mts, 3, 84, 89, 4
P13_10.mts, 4, 90, 100, 5
P13_10.mts, 5, 101, 111, 5 
P13_10.mts, 6, 112, 119, 4.5
P13_10.mts, 7, 120, 127, 1
P13_10.mts, 8, 128, 136, 4 
P13_10.mts, 9, 137, 160, 3
