nomfichier,ngeste,framedebut,framefin,score
P04_01.mts,1,7,32,2.5
P04_01.mts,2,33,47,3.5
P04_01.mts,3,48,83,4.5
P04_01.mts,4,84,123,4
P04_01.mts,5,124,143,3.5
P04_01.mts,6,144,173,3.5
P04_01.mts,7,174,190,2
P04_01.mts,8,191,218,4.5
P04_01.mts,9,219,232,3
P04_02.mts,1,4,15,3
P04_02.mts,2,16,39,3
P04_02.mts,3,40,62,3.5
P04_02.mts,4,63,87,3
P04_02.mts,5,88,113,3
P04_02.mts,6,114,130,4
P04_02.mts,7,131,151,3
P04_02.mts,8,152,173,4
P04_02.mts,9,174,227,3
P04_03.mts,1,41,51,2.5
P04_03.mts,2,52,70,2.5
P04_03.mts,3,71,74,4
P04_03.mts,4,75,91,3.5
P04_03.mts,5,92,105,3
P04_03.mts,6,106,122,4
P04_03.mts,7,123,131,2
P04_03.mts,8,132,141,4
P04_03.mts,9,142,181,2.5
P04_04.mts,1,68,77,1
P04_04.mts,2,78,87,2
P04_04.mts,3,88,96,3
P04_04.mts,4,97,110,2
P04_04.mts,5,111,121,3.5
P04_04.mts,6,122,130,3.5
P04_04.mts,7,132,140,2
P04_04.mts,8,141,149,4
P04_04.mts,9,150,187,3
P04_05.mts,1,54,66,2.5
P04_05.mts,2,67,75,2
P04_05.mts,3,76,82,3
P04_05.mts,4,83,92,2
P04_05.mts,5,93,101,3
P04_05.mts,6,102,109,3
P04_05.mts,7,110,120,1.5
P04_05.mts,8,121,127,4
P04_05.mts,9,128,155,2
P04_06.mts,1,39,60,2
P04_06.mts,2,61,90,4
P04_06.mts,3,91,104,3
P04_06.mts,4,105,142,3
P04_06.mts,5,143,177,2
P04_06.mts,6,178,197,3
P04_06.mts,7,196,225,2
P04_06.mts,8,226,247,4
P04_06.mts,9,248,304,4
P04_07.mts,1,9,28,4
P04_07.mts,2,29,45,2
P04_07.mts,3,46,66,3
P04_07.mts,4,67,93,2
P04_07.mts,5,94,118,3.5
P04_07.mts,6,119,131,2
P04_07.mts,7,132,158,2
P04_07.mts,8,158,177,4
P04_07.mts,9,178,234,3.5
P04_08.mts,1,46,56,1
P04_08.mts,2,57,70,2
P04_08.mts,3,71,81,3
P04_08.mts,4,82,98,1
P04_08.mts,5,99,114,4
P04_08.mts,6,115,128,3.5
P04_08.mts,7,129,139,2
P04_08.mts,8,140,150,4
P04_08.mts,9,151,192,3
P04_09.mts,1,59,71,1.5
P04_09.mts,2,72,81,1.5
P04_09.mts,3,82,90,3
P04_09.mts,4,91,101,2
P04_09.mts,5,102,113,2
P04_09.mts,6,114,124,2.5
P04_09.mts,7,125,130,1.5
P04_09.mts,8,131,142,4
P04_09.mts,9,143,185,3
P04_10.mts,1,55,70,2
P04_10.mts,2,71,80,1.5
P04_10.mts,3,81,86,3
P04_10.mts,4,87,97,3
P04_10.mts,5,98,108,2
P04_10.mts,6,109,116,2.5
P04_10.mts,7,117,123,1
P04_10.mts,8,124,133,3
P04_10.mts,9,134,169,2
