nomfichier,ngeste,framedebut,framefin,score
P18_01.mp4,1,1,12,4
P18_01.mp4,2,13,38,5
P18_01.mp4,3,39,69,5
P18_01.mp4,4,70,120,0
P18_01.mp4,5,121,148,4.5
P18_01.mp4,6,149,188,4
P18_01.mp4,7,189,218,3.5
P18_01.mp4,8,219,243,4.5
P18_01.mp4,9,244,305,5
P18_02.mp4,1,1,54,2
P18_02.mp4,2,55,69,5
P18_02.mp4,3,70,99,5
P18_02.mp4,4,100,129,1
P18_02.mp4,5,130,162,4
P18_02.mp4,6,163,187,4.5
P18_02.mp4,7,188,210,2.5
P18_02.mp4,8,211,236,3
P18_02.mp4,9,237,300,3
P18_03.mp4,1,50,69,5
P18_03.mp4,2,70,85,4.5
P18_03.mp4,3,86,94,3.5
P18_03.mp4,4,95,115,1
P18_03.mp4,5,116,134,2
P18_03.mp4,6,135,158,3.5
P18_03.mp4,7,159,174,1
P18_03.mp4,8,175,190,2
P18_03.mp4,9,191,230,3
P18_04.mp4,1,60,81,1
P18_04.mp4,2,82,96,3.5
P18_04.mp4,3,97,105,3.5
P18_04.mp4,4,106,120,1
P18_04.mp4,5,121,140,1
P18_04.mp4,6,141,152,3.5
P18_04.mp4,7,153,162,2.5
P18_04.mp4,8,163,179,1
P18_04.mp4,9,180,217,1.5
P18_05.mp4,1,57,67,3
P18_05.mp4,2,68,77,4
P18_05.mp4,3,78,86,4
P18_05.mp4,4,87,100,4
P18_05.mp4,5,101,111,2.5
P18_05.mp4,6,112,127,4
P18_05.mp4,7,128,136,4
P18_05.mp4,8,137,145,3
P18_05.mp4,9,146,189,1
P18_06.mp4,1,55,73,5
P18_06.mp4,2,74,101,5
P18_06.mp4,3,102,137,5
P18_06.mp4,4,138,186,1
P18_06.mp4,5,187,225,3.5
P18_06.mp4,6,226,260,4
P18_06.mp4,7,261,282,3
P18_06.mp4,8,283,311,3
P18_06.mp4,9,312,375,3
P18_07.mp4,1,22,37,5
P18_07.mp4,2,38,65,5
P18_07.mp4,3,66,90,4
P18_07.mp4,4,91,120,1
P18_07.mp4,5,121,163,4
P18_07.mp4,6,164,185,4
P18_07.mp4,7,186,210,3
P18_07.mp4,8,211,232,4
P18_07.mp4,9,233,280,3.5
P18_08.mp4,1,80,100,3
P18_08.mp4,2,101,115,4.5
P18_08.mp4,3,116,129,5
P18_08.mp4,4,130,149,1
P18_08.mp4,5,150,170,3
P18_08.mp4,6,171,191,4
P18_08.mp4,7,192,200,5
P18_08.mp4,8,201,209,0
P18_08.mp4,9,210,270,0
P18_09.mp4,1,60,77,4
P18_09.mp4,2,78,90,4.5
P18_09.mp4,3,91,101,4.5
P18_09.mp4,4,102,118,1
P18_09.mp4,5,119,133,3
P18_09.mp4,6,134,150,4
P18_09.mp4,7,151,163,4.5
P18_09.mp4,8,164,174,4.5
P18_09.mp4,9,175,217,3.5
P18_10.mp4,1,83,94,3
P18_10.mp4,2,95,104,3.5
P18_10.mp4,3,105,117,4
P18_10.mp4,4,118,128,3
P18_10.mp4,5,129,140,2
P18_10.mp4,6,141,153,3.5
P18_10.mp4,7,154,163,3.5
P18_10.mp4,8,164,172,4
P18_10.mp4,9,173,210,3.5
