nomfichier,ngeste,framedebut,framefin,score
P03_01.mts,1,18,49,1
P03_01.mts,2,50,76,4.5
P03_01.mts,3,77,104,1
P03_01.mts,4,105,127,3
P03_01.mts,5,128,171,4
P03_01.mts,6,172,193,4.5
P03_01.mts,7,191,217,3.5
P03_01.mts,8,218,237,4.5
P03_01.mts,9,238,309,4.5
P03_02.mts,1,1,9,1
P03_02.mts,2,10,25,3.5
P03_02.mts,3,26,52,3
P03_02.mts,4,52,73,1
P03_02.mts,5,74,102,3.5
P03_02.mts,6,103,121,4
P03_02.mts,7,122,132,3.5
P03_02.mts,8,133,157,4.5
P03_02.mts,9,158,215,4.5
P03_03.mts,1,46,54,1
P03_03.mts,2,55,62,4.5
P03_03.mts,3,63,78,3
P03_03.mts,4,79,95,4.5
P03_03.mts,5,96,111,4
P03_03.mts,6,112,120,4
P03_03.mts,7,121,134,4
P03_03.mts,8,134,145,4.5
P03_03.mts,9,146,185,4.5
P03_04.mts,1,59,67,1
P03_04.mts,2,68,74,4.5
P03_04.mts,3,75,86,3
P03_04.mts,4,87,98,4.5
P03_04.mts,5,99,110,5
P03_04.mts,6,111,124,5
P03_04.mts,7,125,144,0
P03_04.mts,8,145,145,0
P03_04.mts,9,146,177,1
P03_05.mts,1,61,70,1
P03_05.mts,2,71,76,3.5
P03_05.mts,3,77,84,4
P03_05.mts,4,85,96,1
P03_05.mts,5,97,106,4.5
P03_05.mts,6,107,112,4
P03_05.mts,7,113,120,2
P03_05.mts,8,121,130,4
P03_05.mts,9,131,157,3
P03_06.mts,1,19,32,1
P03_06.mts,2,33,57,4
P03_06.mts,3,58,89,3
P03_06.mts,4,90,117,3
P03_06.mts,5,118,153,3
P03_06.mts,6,154,182,3.5
P03_06.mts,7,183,205,2
P03_06.mts,8,206,222,4
P03_06.mts,9,223,287,4
P03_07.mts,1,1,7,1
P03_07.mts,2,8,22,4
P03_07.mts,3,23,47,3
P03_07.mts,4,48,68,2
P03_07.mts,5,69,102,3.5
P03_07.mts,6,103,119,4
P03_07.mts,7,120,137,3
P03_07.mts,8,138,153,4.5
P03_07.mts,9,154,211,4
P03_08.mts,1,30,56,1
P03_08.mts,2,57,62,3.5
P03_08.mts,3,63,79,3
P03_08.mts,4,80,94,2
P03_08.mts,5,95,110,3
P03_08.mts,6,111,120,4.5
P03_08.mts,7,121,130,3
P03_08.mts,8,131,142,4.5
P03_08.mts,9,143,186,3.5
P03_09.mts,1,57,67,2
P03_09.mts,2,68,75,4.5
P03_09.mts,3,76,87,3.5
P03_09.mts,4,88,100,4.5
P03_09.mts,5,101,112,4.5
P03_09.mts,6,113,120,4.5
P03_09.mts,7,121,129,1.5
P03_09.mts,8,130,140,3.5
P03_09.mts,9,141,176,3.5
P03_10.mts,1,53,64,1
P03_10.mts,2,65,72,3.5
P03_10.mts,3,73,81,3.5
P03_10.mts,4,82,94,4.5
P03_10.mts,5,95,106,4
P03_10.mts,6,105,110,4
P03_10.mts,7,107,117,1
P03_10.mts,8,118,127,3
P03_10.mts,9,128,157,3
