nomfichier,ngeste,framedebut,framefin,score
P16_01.mtv,1,1,34,1
P16_01.mtv,2,35,54,4
P16_01.mtv,3,55,108,4
P16_01.mtv,4,109,188,3.5
P16_01.mtv,5,189,230,2
P16_01.mtv,6,231,269,1.5
P16_01.mtv,7,270,293,0
P16_01.mtv,8,294,314,1.5
P16_01.mtv,9,315,405,2
P16_02.mtv,1,14,33,2
P16_02.mtv,2,34,51,2
P16_02.mtv,3,52,113,2
P16_02.mtv,4,114,175,2
P16_02.mtv,5,176,234,3.5
P16_02.mtv,6,235,294,1
P16_02.mtv,7,295,357,0
P16_02.mtv,8,358,381,0
P16_02.mtv,9,382,450,4.5
P16_03.mtv,1,58,79,5
P16_03.mtv,2,80,124,2.5
P16_03.mtv,3,125,135,3
P16_03.mtv,4,136,174,3.5
P16_03.mtv,5,175,193,1
P16_03.mtv,6,194,218,0
P16_03.mtv,7,219,263,2
P16_03.mtv,8,264,272,2
P16_03.mtv,9,273,317,3.5
P16_04.mtv,1,30,49,4
P16_04.mtv,2,50,80,0
P16_04.mtv,3,81,99,0
P16_04.mtv,4,100,125,0.5
P16_04.mtv,5,126,141,1.5
P16_04.mtv,6,142,174,2
P16_04.mtv,7,175,186,2.5
P16_04.mtv,8,187,228,0
P16_04.mtv,9,229,254,0
P16_05.mtv,1,123,129,1.5
P16_05.mtv,2,130,144,2
P16_05.mtv,3,145,149,2
P16_05.mtv,4,150,166,2.5
P16_05.mtv,5,167,180,3
P16_05.mtv,6,181,213,3.5
P16_05.mtv,7,216,227,4
P16_05.mtv,8,228,265,0
P16_05.mtv,9,266,294,1.5
P16_06.mtv,1,13,48,5
P16_06.mtv,2,49,110,2
P16_06.mtv,3,111,172,2.5
P16_06.mtv,4,173,239,3
P16_06.mtv,5,240,311,3.5
P16_06.mtv,6,312,404,0
P16_06.mtv,7,405,475,1
P16_06.mtv,8,476,494,2.5
P16_06.mtv,9,495,583,3.5
P16_07.mtv,1,27,45,1.5
P16_07.mtv,2,46,105,1.5
P16_07.mtv,3,106,147,1.5
P16_07.mtv,4,148,191,0.5
P16_07.mtv,5,192,234,0
P16_07.mtv,6,235,295,5
P16_07.mtv,7,296,320,4
P16_07.mtv,8,321,377,4
P16_07.mtv,9,378,408,3
P16_08.mtv,1,56,83,3.5
P16_08.mtv,2,84,104,0
P16_08.mtv,3,105,125,1.5
P16_08.mtv,4,126,142,2
P16_08.mtv,5,143,159,2.5
P16_08.mtv,6,160,200,3.5
P16_08.mtv,7,201,211,1
P16_08.mtv,8,212,226,1
P16_08.mtv,9,227,315,1
P16_09.mtv,1,134,144,1.5
P16_09.mtv,2,145,175,4.5
P16_09.mtv,3,176,188,3.5
P16_09.mtv,4,189,227,2
P16_09.mtv,5,228,241,2
P16_09.mtv,6,242,255,2
P16_09.mtv,7,256,270,3
P16_09.mtv,8,271,282,1
P16_09.mtv,9,283,339,1.5
P16_10.mtv,1,138,144,1.5
P16_10.mtv,2,145,175,1
P16_10.mtv,3,176,183,0
P16_10.mtv,4,184,228,3
P16_10.mtv,5,229,242,3
P16_10.mtv,6,243,252,3
P16_10.mtv,7,253,278,2.5
P16_10.mtv,8,279,289,0
P16_10.mtv,9,290,298,0
