nomfichier,ngeste,framedebut,framefin,score
P14_01.mtv,1,29,41,3
P14_01.mtv,2,42,59,4.5
P14_01.mtv,3,60,109,5
P14_01.mtv,4,110,144,2
P14_01.mtv,5,145,194,4.5
P14_01.mtv,6,195,219,3.5
P14_01.mtv,7,220,270,0
P14_01.mtv,8,271,320,1
P14_01.mtv,9,321,345,4.5
P14_02.mtv,1,8,30,3.5
P14_02.mtv,2,31,47,3
P14_02.mtv,3,48,60,2
P14_02.mtv,4,61,73,1
P14_02.mtv,5,47,124,3
P14_02.mtv,6,125,139,1
P14_02.mtv,7,140,146,2.5
P14_02.mtv,8,147,186,0
P14_02.mtv,9,187,206,1
P14_03.mtv,1,110,185,2.5
P14_03.mtv,2,194,212,4
P14_03.mtv,3,213,232,3
P14_03.mtv,4,233,247,2
P14_03.mtv,5,248,265,2.5
P14_03.mtv,6,266,276,3.5
P14_03.mtv,7,277,327,4
P14_03.mtv,8,328,343,0
P14_03.mtv,9,344,378,1
P14_04.mtv,1,46,71,4
P14_04.mtv,2,72,82,3.5
P14_04.mtv,3,83,92,3
P14_04.mtv,4,93,107,2.5
P14_04.mtv,5,108,120,1
P14_04.mtv,6,121,152,3
P14_04.mtv,7,153,202,3.5
P14_04.mtv,8,203,218,0
P14_04.mtv,9,219,235,1
P14_05.mtv,1,112,119,2
P14_05.mtv,2,120,149,3.5
P14_05.mtv,3,150,158,3
P14_05.mtv,4,159,170,1
P14_05.mtv,5,171,205,0
P14_05.mtv,6,206,215,2
P14_05.mtv,7,216,247,2.5
P14_05.mtv,8,248,260,0
P14_05.mtv,9,261,295,1.5
P14_06.mtv,1,100,149,4
P14_06.mtv,2,150,162,3.5
P14_06.mtv,3,163,213,2.5
P14_06.mtv,4,214,267,2
P14_06.mtv,5,268,366,1
P14_06.mtv,6,367,395,3
P14_06.mtv,7,396,427,0
P14_06.mtv,8,428,507,4.5
P14_06.mtv,9,508,539,2
P14_07.mtv,1,1,16,1
P14_07.mtv,2,17,63,3
P14_07.mtv,3,64,87,2.5
P14_07.mtv,4,88,104,1
P14_07.mtv,5,105,153,0
P14_07.mtv,6,154,197,4
P14_07.mtv,7,198,212,1
P14_07.mtv,8,213,262,2.5
P14_07.mtv,9,263,278,3.5
P14_08.mtv,1,31,62,3
P14_08.mtv,2,63,94,1
P14_08.mtv,3,95,107,0
P14_08.mtv,4,108,136,2
P14_08.mtv,5,137,153,3.5
P14_08.mtv,6,154,171,4
P14_08.mtv,7,172,217,2
P14_08.mtv,8,218,227,2
P14_08.mtv,9,228,242,2
P14_09.mtv,1,120,149,3
P14_09.mtv,2,150,160,3.5
P14_09.mtv,3,161,169,1
P14_09.mtv,4,170,191,0
P14_09.mtv,5,192,204,3
P14_09.mtv,6,205,232,2
P14_09.mtv,7,233,253,1
P14_09.mtv,8,254,267,4
P14_09.mtv,9,268,301,3.5
P14_10.mtv,1,113,117,2
P14_10.mtv,2,118,123,1
P14_10.mtv,3,124,155,2
P14_10.mtv,4,156,168,2.5
P14_10.mtv,5,169,202,3
P14_10.mtv,6,203,212,4.5
P14_10.mtv,7,213,247,0
P14_10.mtv,8,248,256,1
P14_10.mtv,9,257,288,1
