nomfichier,ngeste,framedebut,framefin,score
P17_01.mtv,1,4,29,4.5
P17_01.mtv,2,30,55,1
P17_01.mtv,3,56,90,1.5
P17_01.mtv,4,91,151,1.5
P17_01.mtv,5,152,187,1.5
P17_01.mtv,6,188,209,1.5
P17_01.mtv,7,210,238,2
P17_01.mtv,8,239,271,0
P17_01.mtv,9,272,373,1
P17_02.mtv,1,10,31,3
P17_02.mtv,2,32,61,2.5
P17_02.mtv,3,62,92,2.5
P17_02.mtv,4,93,113,5
P17_02.mtv,5,114,139,5
P17_02.mtv,6,140,168,5
P17_02.mtv,7,169,208,1.5
P17_02.mtv,8,209,258,2
P17_02.mtv,9,259,339,2.5
P17_03.mtv,1,47,87,2.5
P17_03.mtv,2,88,101,3
P17_03.mtv,3,102,143,3.5
P17_03.mtv,4,144,166,1
P17_03.mtv,5,167,187,0
P17_03.mtv,6,188,203,0
P17_03.mtv,7,204,217,2.5
P17_03.mtv,8,218,255,3
P17_03.mtv,9,256,301,3
P17_04.mtv,1,128,104,4
P17_04.mtv,2,141,175,1.5
P17_04.mtv,3,176,188,0.5
P17_04.mtv,4,189,229,0.5
P17_04.mtv,5,230,246,4
P17_04.mtv,6,247,243,2.5
P17_04.mtv,7,254,279,2.5
P17_04.mtv,8,280,294,3
P17_04.mtv,9,295,334,3
P17_05.mtv,1,52,87,3.5
P17_05.mtv,2,88,94,2
P17_05.mtv,3,95,113,1
P17_05.mtv,4,114,135,1
P17_05.mtv,5,136,147,1
P17_05.mtv,6,148,181,4.5
P17_05.mtv,7,182,196,2
P17_05.mtv,8,197,204,0
P17_05.mtv,9,205,241,1
P17_06.mtv,1,34,83,1
P17_06.mtv,2,84,132,2
P17_06.mtv,3,133,175,2.5
P17_06.mtv,4,176,209,3
P17_06.mtv,5,210,241,3.5
P17_06.mtv,6,242,302,4
P17_06.mtv,7,303,361,2
P17_06.mtv,8,362,425,2
P17_06.mtv,9,426,501,2.5
P17_07.mtv,1,21,37,3.5
P17_07.mtv,2,38,89,3
P17_07.mtv,3,90,118,4
P17_07.mtv,4,119,170,4.5
P17_07.mtv,5,171,256,1
P17_07.mtv,6,257,279,2
P17_07.mtv,7,280,335,2.5
P17_07.mtv,8,336,387,3.5
P17_07.mtv,9,388,494,1
P17_08.mtv,1,138,175,1.5
P17_08.mtv,2,176,198,0
P17_08.mtv,3,199,229,0
P17_08.mtv,4,230,246,3
P17_08.mtv,5,247,272,2.5
P17_08.mtv,6,273,287,2
P17_08.mtv,7,288,307,0
P17_08.mtv,8,308,322,0
P17_08.mtv,9,323,409,0
P17_09.mtv,1,135,143,1.5
P17_09.mtv,2,144,165,2
P17_09.mtv,3,166,183,2
P17_09.mtv,4,184,200,2
P17_09.mtv,5,201,217,3.5
P17_09.mtv,6,218,233,2.5
P17_09.mtv,7,234,246,0
P17_09.mtv,8,247,275,1
P17_09.mtv,9,276,317,1.5
P17_10.mtv,1,47,58,5
P17_10.mtv,2,59,80,0.5
P17_10.mtv,3,81,96,0.5
P17_10.mtv,4,97,121,1
P17_10.mtv,5,122,136,1
P17_10.mtv,6,137,143,1.5
P17_10.mtv,7,144,166,3
P17_10.mtv,8,167,174,2
P17_10.mtv,9,175,196,0
