nomfichier, ngeste, framedebut, framefin, score
P09_01.mts, 1, 26, 53, 5
P09_01.mts, 2, 54, 80, 5
P09_01.mts, 3, 81, 107, 4
P09_01.mts, 4, 108, 141, 4.5 
P09_01.mts, 5, 142, 174, 5
P09_01.mts, 6, 175, 199, 5
P09_01.mts, 7, 200, 225, 4.5
P09_01.mts, 8, 226, 238, 5
P09_01.mts, 9, 244, 284, 4.5
P09_02.mts, 1, 13, 31, 5
P09_02.mts, 2, 32, 53, 5
P09_02.mts, 3, 54, 76, 4
P09_02.mts, 4, 77, 99, 4
P09_02.mts, 5, 100, 129, 4
P09_02.mts, 6, 130, 149, 4
P09_02.mts, 7, 150, 169, 4.5
P09_02.mts, 8, 170, 179, 5
P09_02.mts, 9, 180, 222, 3
P09_03.mts, 1, 61, 75, 5
P09_03.mts, 2, 76, 86, 5
P09_03.mts, 3, 87, 101, 5
P09_03.mts, 4, 102, 114, 2
P09_03.mts, 5, 115, 131, 2.5
P09_03.mts, 6, 132, 146, 2.5
P09_03.mts, 7, 147, 160, 3
P09_03.mts, 8, 161, 168, 5
P09_03.mts, 9, 169, 198, 3
P09_04.mts, 1, 61, 73, 4
P09_04.mts, 2, 74, 81, 4
P09_04.mts, 3, 82, 92, 2.5
P09_04.mts, 4, 93, 106, 4
P09_04.mts, 5, 107, 119, 4
P09_04.mts, 6, 120, 129, 2
P09_04.mts, 7, 130, 141, 1
P09_04.mts, 8, 142, 149, 4
P09_04.mts, 9, 150, 176, 3.5
P09_05.mts, 1, 60, 69, 4
P09_05.mts, 2, 70, 78, 4
P09_05.mts, 3, 79, 88, 4.5
P09_05.mts, 4, 89, 97, 2
P09_05.mts, 5, 98, 108, 1
P09_05.mts, 6, 109, 118, 1
P09_05.mts, 7, 119, 131, 0
P09_05.mts, 8, 132, 136, 4
P09_05.mts, 9, 137, 158, 3
P09_06.mts, 1, 62, 89, 4 
P09_06.mts, 2, 90, 111, 4.5
P09_06.mts, 3, 112, 133, 4
P09_06.mts, 4, 134, 162, 4
P09_06.mts, 5, 163, 207, 5
P09_06.mts, 6, 208, 230, 5
P09_06.mts, 7, 231, 258, 4
P09_06.mts, 8, 259, 273, 5
P09_06.mts, 9, 274, 323, 4
P09_07.mts, 1, 16, 34, 3
P09_07.mts, 2, 35, 60, 5
P09_07.mts, 3, 61, 84, 5
P09_07.mts, 4, 85, 106, 5
P09_07.mts, 5, 107, 136, 5
P09_07.mts, 6, 137, 153, 4
P09_07.mts, 7, 154, 172, 3
P09_07.mts, 8, 173, 187, 5
P09_07.mts, 9, 188, 236, 4
P09_08.mts, 1, 56, 69, 4.5
P09_08.mts, 2, 70, 81, 4.5
P09_08.mts, 3, 82, 98, 5
P09_08.mts, 4, 99, 110, 4
P09_08.mts, 5, 111, 126, 4.5
P09_08.mts, 6, 127, 139, 3.5
P09_08.mts, 7, 140, 154, 4
P09_08.mts, 8, 155, 163, 5
P09_08.mts, 9, 164, 191, 4
P09_09.mts, 1, 72, 86, 2
P09_09.mts, 2, 87, 94, 3
P09_09.mts, 3, 95, 101, 4
P09_09.mts, 4, 102, 114, 4
P09_09.mts, 5, 115, 125, 4
P09_09.mts, 6, 126, 133, 3
P09_09.mts, 7, 134, 145, 4
P09_09.mts, 8, 146, 153, 5
P09_09.mts, 9, 154, 175, 3
P09_10.mts, 1, 73, 81, 3.5
P09_10.mts, 2, 82, 88, 5
P09_10.mts, 3, 89, 96, 5
P09_10.mts, 4, 97, 106, 4.5
P09_10.mts, 5, 107, 117, 4
P09_10.mts, 6, 118, 126, 2.5
P09_10.mts, 7, 127, 136, 4
P09_10.mts, 8, 137, 143, 5
P09_10.mts, 9, 144, 163, 3
