nomfichier, ngeste, framedebut, framefin, score
P08_01.mts, 1, 34, 62, 5
P08_01.mts, 2, 62, 86, 4
P08_01.mts, 3, 86, 115, 5
P08_01.mts, 4, 115, 136, 5
P08_01.mts, 5, 136, 165, 0
P08_01.mts, 6, 165, 214, 5
P08_01.mts, 7, 214, 238, 4
P08_01.mts, 8, 238, 250, 0
P08_01.mts, 9, 250, 305, 4

P08_02.mts, 1, 1, 25, 5
P08_02.mts, 2, 25, 46, 5
P08_02.mts, 3, 46, 67, 5
P08_02.mts, 4, 67, 94,1
P08_02.mts, 5, 94, 114, 5
P08_02.mts, 6, 114, 136, 5
P08_02.mts, 7, 136, 160, 3
P08_02.mts, 8, 160, 162, 0
P08_02.mts, 9, 162, 235, 1

P08_03.mts, 1, 3, 21, 5
P08_03.mts, 2, 21, 29, 4
P08_03.mts, 3, 29, 43, 5
P08_03.mts, 4, 43, 57, 5
P08_03.mts, 5, 57, 75, 0
P08_03.mts, 6, 75, 100, 4
P08_03.mts, 7, 100, 116, 3
P08_03.mts, 8, 116, 120, 0
P08_03.mts, 9, 120, 167, 0

P08_04.mts, 1, 14, 28, 2
P08_04.mts, 2, 28, 40, 3
P08_04.mts, 3, 40, 51, 5
P08_04.mts, 4, 51, 67, 0
P08_04.mts, 5, 67, 80, 0
P08_04.mts, 6, 80, 98, 3
P08_04.mts, 7, 98, 103, 0
P08_04.mts, 8, 103, 105, 0
P08_04.mts, 9, 105, 130,2

P08_05.mts, 1, 28, 42, 4
P08_05.mts, 2, 42, 50, 3
P08_05.mts, 3, 50, 58, 5
P08_05.mts, 4,58, 70,5
P08_05.mts, 5, 70, 80,4
P08_05.mts, 6, 80, 86,5
P08_05.mts, 7, 86,90,5
P08_05.mts, 8, 90, 93,0
P08_05.mts, 9, 93, 136,0

P08_06.mts, 1, 20, 48, 3
P08_06.mts, 2, 48, 70, 3
P08_06.mts, 3, 70, 96, 2
P08_06.mts, 4, 96, 118,5
P08_06.mts, 5,118, 160,5
P08_06.mts, 6,160,184,5
P08_06.mts, 7, 184, 211,5
P08_06.mts, 8, 211, 240,5
P08_06.mts, 9, 240,291,2

P08_07.mts, 1,0 ,20, 5
P08_07.mts, 2, 20, 33, 0
P08_07.mts, 3, 33, 52, 0
P08_07.mts, 4, 52,73,0
P08_07.mts, 5, 73, 85,5
P08_07.mts, 6, 85, 120,5
P08_07.mts, 7, 120,148,5
P08_07.mts, 8, 148,165,5
P08_07.mts, 9, 165,220,0

P08_08.mts, 1, 24, 39, 5
P08_08.mts, 2, 39, 55, 3
P08_08.mts, 3, 55, 64, 4
P08_08.mts, 4, 64, 80,0
P08_08.mts, 5, 80, 97,0
P08_08.mts, 6, 97, 111,3
P08_08.mts, 7, 111, 125,3
P08_08.mts, 8, 125, 126,0
P08_08.mts, 9, 126, 169,0

P08_09.mts, 1, 61, 76, 3
P08_09.mts, 2, 76, 89,2 
P08_09.mts, 3, 89, 95,5 
P08_09.mts, 4, 95, 110,2
P08_09.mts, 5, 110, 126,4
P08_09.mts, 6, 126, 138,5
P08_09.mts, 7, 138, 151,4
P08_09.mts, 8, 151, 164,4
P08_09.mts, 9, 164, 208,0

P08_10.mts, 1, 13, 27, 2
P08_10.mts, 2,27,39,0
P08_10.mts, 3,39,44,0
P08_10.mts, 4,44,56,2
P08_10.mts, 5,56,77,0
P08_10.mts, 6,77,84,5
P08_10.mts, 7,84, 87,0
P08_10.mts, 8, 87, 88,0
P08_10.mts, 9, 88,122,0
