nomfichier,ngeste,framedebut,framefin,score
P19_01.mp4,1,48,87,2
P19_01.mp4,2,88,114,4.5
P19_01.mp4,3,115,143,5
P19_01.mp4,4,144,185,1.5
P19_01.mp4,5,186,220,5
P19_01.mp4,6,221,257,4.5
P19_01.mp4,7,258,289,1.5
P19_01.mp4,8,290,319,3.5
P19_01.mp4,9,320,390,4
P19_02.mp4,1,2,28,1.5
P19_02.mp4,2,29,58,0
P19_02.mp4,3,59,78,5
P19_02.mp4,4,79,111,5
P19_02.mp4,5,112,136,5
P19_02.mp4,6,137,163,3.5
P19_02.mp4,7,164,192,0.5
P19_02.mp4,8,193,218,1
P19_02.mp4,9,219,290,4
P19_03.mp4,1,30,49,1
P19_03.mp4,2,50,68,2
P19_03.mp4,3,69,82,5
P19_03.mp4,4,83,98,3
P19_03.mp4,5,99,114,0
P19_03.mp4,6,115,135,0
P19_03.mp4,7,136,137,0
P19_03.mp4,8,138,148,0
P19_03.mp4,9,149,216,0
P19_04.mp4,1,72,88,0
P19_04.mp4,2,89,106,0.5
P19_04.mp4,3,107,119,1.5
P19_04.mp4,4,120,135,2
P19_04.mp4,5,136,154,4.5
P19_04.mp4,6,155,165,2.5
P19_04.mp4,7,166,187,1
P19_04.mp4,8,188,190,1
P19_04.mp4,9,191,280,0
P19_05.mp4,1,17,37,1
P19_05.mp4,2,38,52,0
P19_05.mp4,3,53,63,0
P19_05.mp4,4,64,75,1
P19_05.mp4,5,76,90,1.5
P19_05.mp4,6,91,98,0.5
P19_05.mp4,7,99,109,0
P19_05.mp4,8,110,111,0.5
P19_05.mp4,9,112,160,0.5
P19_06.mp4,1,35,67,1
P19_06.mp4,2,68,92,4
P19_06.mp4,3,93,120,5
P19_06.mp4,4,121,150,4
P19_06.mp4,5,151,198,5
P19_06.mp4,6,199,222,5
P19_06.mp4,7,223,257,1
P19_06.mp4,8,258,286,3.5
P19_06.mp4,9,287,367,4.5
P19_07.mp4,1,1,22,1
P19_07.mp4,2,23,47,3
P19_07.mp4,3,48,73,5
P19_07.mp4,4,74,100,5
P19_07.mp4,5,101,132,5
P19_07.mp4,6,133,159,3.5
P19_07.mp4,7,160,187,1
P19_07.mp4,8,188,210,4
P19_07.mp4,9,211,278,4.5
P19_08.mp4,1,26,63,1
P19_08.mp4,2,64,87,0
P19_08.mp4,3,88,99,0
P19_08.mp4,4,100,118,1
P19_08.mp4,5,119,140,0
P19_08.mp4,6,141,153,0
P19_08.mp4,7,154,171,0.5
P19_08.mp4,8,172,173,0
P19_08.mp4,9,174,240,0.5
P19_09.mp4,1,62,83,1
P19_09.mp4,2,84,97,0.5
P19_09.mp4,3,98,99,0
P19_09.mp4,4,100,124,1
P19_09.mp4,5,125,143,0.5
P19_09.mp4,6,144,156,0.5
P19_09.mp4,7,157,158,0.5
P19_09.mp4,8,159,172,0.5
P19_09.mp4,9,173,240,1.5
P19_10.mp4,1,44,67,1
P19_10.mp4,2,68,86,0.5
P19_10.mp4,3,87,88,0
P19_10.mp4,4,89,107,0.5
P19_10.mp4,5,108,124,0
P19_10.mp4,6,125,126,0.5
P19_10.mp4,7,127,142,0
P19_10.mp4,8,143,178,0
P19_10.mp4,9,179,180,0
