nomfichier, ngeste, framedebut, framefin, score
P07_01.mts, 1, 29, 58, 4
P07_01.mts, 2, 58, 83, 5
P07_01.mts, 3, 83, 112, 5
P07_01.mts, 4, 112, 142, 5
P07_01.mts, 5, 142, 175, 5
P07_01.mts, 6, 175, 203, 5
P07_01.mts, 7, 203, 225, 5
P07_01.mts, 8, 225, 250, 5
P07_01.mts, 9, 250, 294, 4

P07_02.mts, 1, 17, 38, 4
P07_02.mts, 2, 38, 57, 5
P07_02.mts, 3, 57, 78, 5
P07_02.mts, 4, 78, 103,4
P07_02.mts, 5, 103, 132,5
P07_02.mts, 6, 132, 155,5
P07_02.mts, 7, 155, 172,5
P07_02.mts, 8, 172, 190,2
P07_02.mts, 9, 190, 234, 4

P07_03.mts, 1, 55, 69, 3
P07_03.mts, 2, 69, 80, 5
P07_03.mts, 3, 80, 92, 5
P07_03.mts, 4, 92, 106,5
P07_03.mts, 5, 106, 120,5
P07_03.mts, 6, 120, 133,5
P07_03.mts, 7, 133, 152,2
P07_03.mts, 8, 152, 165,3
P07_03.mts, 9, 165, 192,3

P07_04.mts, 1, 69, 79, 3
P07_04.mts, 2, 79, 91, 5
P07_04.mts, 3, 91, 105, 5
P07_04.mts, 4, 105, 117,5
P07_04.mts, 5, 117, 159,4
P07_04.mts, 6, 159, 138,5
P07_04.mts, 7, 138, 147,3
P07_04.mts, 8, 147, 155,4
P07_04.mts, 9, 155, 191,3

P07_05.mts, 1, 54, 63, 3
P07_05.mts, 2, 63, 72, 3
P07_05.mts, 3, 72, 82, 2
P07_05.mts, 4, 82, 92, 4
P07_05.mts, 5, 92, 107, 1
P07_05.mts, 6, 107, 117, 5
P07_05.mts, 7, 117, 127, 3
P07_05.mts, 8, 127, 132, 1
P07_05.mts, 9, 132, 165, 3

P07_06.mts, 1, 41, 67, 5
P07_06.mts, 2, 67, 92, 5
P07_06.mts, 3, 92, 121,5
P07_06.mts, 4, 121, 139,5
P07_06.mts, 5, 139, 181,5
P07_06.mts, 6, 181, 211,5
P07_06.mts, 7, 211, 238,4
P07_06.mts, 8, 238, 258,5
P07_06.mts, 9, 258, 304,4

P07_07.mts, 1, 28, 50, 4
P07_07.mts, 2, 50, 69, 5
P07_07.mts, 3, 69, 90, 5
P07_07.mts, 4, 90, 107,5
P07_07.mts, 5, 107, 140,5
P07_07.mts, 6, 140, 162,5
P07_07.mts, 7, 162, 185,4
P07_07.mts, 8, 185, 204,5
P07_07.mts, 9, 204, 246,4

P07_08.mts, 1, 50, 64, 4
P07_08.mts, 2, 64, 77, 3
P07_08.mts, 3, 77, 90, 5
P07_08.mts, 4, 90, 103, 4
P07_08.mts, 5, 103, 116,5
P07_08.mts, 6, 116, 129,5
P07_08.mts, 7, 129, 140,5
P07_08.mts, 8, 140, 159,5
P07_08.mts, 9,159 , 200,4

P07_09.mts, 1,50,61,4
P07_09.mts, 2, 61, 72, 2
P07_09.mts, 3, 72, 80, 5
P07_09.mts, 4, 80, 89, 5
P07_09.mts, 5, 89, 106,5
P07_09.mts, 6, 106, 111,4
P07_09.mts, 7, 111, 126,3
P07_09.mts, 8, 126, 134, 5
P07_09.mts, 9,134 , 170, 3

P07_10.mts, 1, 63, 73, 4
P07_10.mts, 2, 73, 83, 2
P07_10.mts, 3, 83, 92, 5
P07_10.mts, 4, 92, 103, 3
P07_10.mts, 5, 103, 113, 3
P07_10.mts, 6, 113, 120,4
P07_10.mts, 7, 120, 131,2
P07_10.mts, 8, 131, 142,5
P07_10.mts, 9, 142, 176, 3
