nomfichier,ngeste,framedebut,framefin,score
P15_01.mtv,1,1,42,1
P15_01.mtv,2,43,64,2.5
P15_01.mtv,3,65,94,2
P15_01.mtv,4,95,141,0
P15_01.mtv,5,142,167,4
P15_01.mtv,6,168,191,1.5
P15_01.mtv,7,192,239,3.5
P15_01.mtv,8,240,254,1
P15_01.mtv,9,255,339,4.5
P15_02.mtv,1,1,19,3
P15_02.mtv,2,20,48,1.5
P15_02.mtv,3,49,85,0
P15_02.mtv,4,86,123,4
P15_02.mtv,5,124,154,2.5
P15_02.mtv,6,155,196,0
P15_02.mtv,7,197,242,1.5
P15_02.mtv,8,243,261,2
P15_02.mtv,9,262,337,3.5
P15_03.mtv,1,44,55,3
P15_03.mtv,2,56,80,3
P15_03.mtv,3,81,92,3
P15_03.mtv,4,93,114,2
P15_03.mtv,5,115,148,1
P15_03.mtv,6,149,163,0
P15_03.mtv,7,164,190,3.5
P15_03.mtv,8,191,210,4
P15_03.mtv,9,211,299,2
P15_04.mtv,1,46,55,2
P15_04.mtv,2,56,83,2.5
P15_04.mtv,3,84,94,3
P15_04.mtv,4,95,132,3.5
P15_04.mtv,5,133,148,0
P15_04.mtv,6,149,158,1
P15_04.mtv,7,159,172,1
P15_04.mtv,8,173,212,2
P15_04.mtv,9,213,273,3
P15_05.mtv,1,32,39,2.5
P15_05.mtv,2,40,49,4
P15_05.mtv,3,50,60,0
P15_05.mtv,4,61,77,1
P15_05.mtv,5,78,93,2.5
P15_05.mtv,6,94,132,1.5
P15_05.mtv,7,133,155,4.5
P15_05.mtv,8,156,195,0
P15_05.mtv,9,196,248,1.5
P15_06.mtv,1,49,80,2
P15_06.mtv,2,81,122,2.5
P15_06.mtv,3,123,183,3.5
P15_06.mtv,4,184,214,3
P15_06.mtv,5,215,242,0
P15_06.mtv,6,243,287,1
P15_06.mtv,7,288,331,1
P15_06.mtv,8,332,380,1.5
P15_06.mtv,9,381,494,2
P15_07.mtv,1,18,36,1
P15_07.mtv,2,37,56,1
P15_07.mtv,3,57,69,0
P15_07.mtv,4,70,80,3
P15_07.mtv,5,81,96,3.5
P15_07.mtv,6,97,121,2
P15_07.mtv,7,122,161,2
P15_07.mtv,8,162,194,3
P15_07.mtv,9,195,269,3.5
P15_08.mtv,1,56,84,2
P15_08.mtv,2,85,101,2.5
P15_08.mtv,3,102,110,4
P15_08.mtv,4,111,169,1
P15_08.mtv,5,170,185,0
P15_08.mtv,6,186,226,2
P15_08.mtv,7,227,241,5
P15_08.mtv,8,242,255,0
P15_08.mtv,9,256,298,4
P15_09.mtv,1,132,142,3
P15_09.mtv,2,143,176,0
P15_09.mtv,3,177,185,2
P15_09.mtv,4,186,227,1
P15_09.mtv,5,228,244,2.5
P15_09.mtv,6,245,280,1.5
P15_09.mtv,7,290,307,4
P15_09.mtv,8,308,347,0
P15_09.mtv,9,348,411,1
P15_10.mtv,1,121,128,3
P15_10.mtv,2,129,142,2.5
P15_10.mtv,3,143,179,2
P15_10.mtv,4,180,193,2
P15_10.mtv,5,194,207,1.5
P15_10.mtv,6,208,235,1.5
P15_10.mtv,7,236,248,3
P15_10.mtv,8,249,262,1
P15_10.mtv,9,263,351,0
