nomfichier, ngeste, framedebut, framefin, score
P06_01.mts, 1, 0, 25, 5
P06_01.mts, 2, 25, 48, 4
P06_01.mts, 3, 48, 79, 5
P06_01.mts, 4, 79, 114,5
P06_01.mts, 5, 114, 132, 5
P06_01.mts, 6, 132, 163, 5 
P06_01.mts, 7, 163, 186, 5
P06_01.mts, 8, 186, 214, 5
P06_01.mts, 9, 214, 262, 5

P06_02.mts, 1, 4, 28, 5
P06_02.mts, 2, 28, 42, 5
P06_02.mts, 3, 42, 66, 5
P06_02.mts, 4, 66, 95, 5
P06_02.mts, 5, 95, 113, 5
P06_02.mts, 6, 113, 136, 5
P06_02.mts, 7, 136, 163, 4
P06_02.mts, 8, 163, 178, 5
P06_02.mts, 9, 178, 216, 5

P06_03.mts, 1, 44, 56, 5
P06_03.mts, 2, 56, 65, 5
P06_03.mts, 3, 65, 80, 5
P06_03.mts, 4, 80, 94, 5
P06_03.mts, 5, 94, 110, 5
P06_03.mts, 6, 110, 125, 5
P06_03.mts, 7, 125, 136, 5
P06_03.mts, 8, 136, 154, 5
P06_03.mts, 9, 154, 183, 5

P06_04.mts, 1, 54, 66, 5
P06_04.mts, 2, 66, 74, 5
P06_04.mts, 3, 74, 85, 5
P06_04.mts, 4, 85, 98, 5
P06_04.mts, 5, 98, 111, 2
P06_04.mts, 6, 111, 121, 2
P06_04.mts, 7, 121, 135, 3
P06_04.mts, 8, 135, 143, 5
P06_04.mts, 9, 143, 170, 3

P06_05.mts, 1, 57, 68, 5
P06_05.mts, 2, 68, 76, 5
P06_05.mts, 3, 76, 85, 5
P06_05.mts, 4, 85, 96, 5
P06_05.mts, 5, 96, 106, 5
P06_05.mts, 6, 106, 114, 5
P06_05.mts, 7, 114, 122, 4
P06_05.mts, 8, 122, 131, 4
P06_05.mts, 9, 131, 157,3

P06_06.mts, 1, 31, 52, 4
P06_06.mts, 2, 52, 70, 5
P06_06.mts, 3, 70, 113, 5
P06_06.mts, 4, 113, 131, 5
P06_06.mts, 5, 131, 180, 5
P06_06.mts, 6, 180, 205, 5
P06_06.mts, 7, 205, 232, 4
P06_06.mts, 8, 232, 254, 5
P06_06.mts, 9, 254, 294, 5

P06_07.mts, 1, 9, 29, 4
P06_07.mts, 2, 29, 44, 5
P06_07.mts, 3, 44, 70, 5
P06_07.mts, 4, 70, 91, 5
P06_07.mts, 5, 91, 114, 5
P06_07.mts, 6, 114, 138, 5
P06_07.mts, 7, 138, 159, 5
P06_07.mts, 8, 159, 181, 5
P06_07.mts, 9, 181, 217, 5

P06_08.mts, 1, 39, 51, 5
P06_08.mts, 2, 51, 63, 4
P06_08.mts, 3, 63, 76, 5
P06_08.mts, 4, 76, 90, 5
P06_08.mts, 5, 90, 107, 5
P06_08.mts, 6, 107, 123, 5
P06_08.mts, 7, 123, 133, 5
P06_08.mts, 8, 133, 143, 4
P06_08.mts, 9, 143, 178, 5

P06_09.mts, 1, 57, 78,  5
P06_09.mts, 2, 78, 87, 4
P06_09.mts, 3, 87, 97, 5
P06_09.mts, 4, 97, 110,5
P06_09.mts, 5, 110, 123, 5
P06_09.mts, 6, 123, 130, 5
P06_09.mts, 7, 130, 140, 5
P06_09.mts, 8, 140, 159, 5
P06_09.mts, 9, 159, 187, 4

P06_10.mts, 1, 59, 64, 5
P06_10.mts, 2, 64, 71, 5
P06_10.mts, 3, 71, 81, 5
P06_10.mts, 4, 81, 92, 5
P06_10.mts, 5, 92, 102,5
P06_10.mts, 6, 102, 110,5
P06_10.mts, 7, 110, 119,5
P06_10.mts, 8, 119, 129,5
P06_10.mts, 9, 129, 157,4
