nomfichier,ngeste,framedebut,framefin,score
P02_01.mts,1,1,22,2
P02_01.mts,2,23,37,3.5
P02_01.mts,3,38,60,3
P02_01.mts,4,61,93,1
P02_01.mts,5,94,130,3
P02_01.mts,6,130,154,4
P02_01.mts,7,155,179,2
P02_01.mts,8,180,221,3.5
P02_01.mts,9,222,270,4
P02_02.mts,1,11,25,4.5
P02_02.mts,2,26,43,4
P02_02.mts,3,44,57,3
P02_02.mts,4,58,83,1
P02_02.mts,5,84,117,3.5
P02_02.mts,6,118,136,3.5
P02_02.mts,7,137,154,2
P02_02.mts,8,155,172,4
P02_02.mts,9,173,236,4.5
P02_03.mts,1,43,54,5
P02_03.mts,2,55,67,5
P02_03.mts,3,68,77,3
P02_03.mts,4,78,93,1
P02_03.mts,5,94,109,3.5
P02_03.mts,6,110,125,3
P02_03.mts,7,126,137,2
P02_03.mts,8,138,149,3
P02_03.mts,9,150,192,4.5
P02_04.mts,1,56,67,5
P02_04.mts,2,68,77,4.5
P02_04.mts,3,78,85,3
P02_04.mts,4,86,97,1
P02_04.mts,5,98,110,5
P02_04.mts,6,111,122,3
P02_04.mts,7,123,132,3
P02_04.mts,8,133,143,3.5
P02_04.mts,9,144,181,4.5
P02_05.mts,1,59,69,4.5
P02_05.mts,2,70,76,2
P02_05.mts,3,77,83,2.5
P02_05.mts,4,84,95,1
P02_05.mts,5,96,106,2
P02_05.mts,6,107,111,2
P02_05.mts,7,112,121,2.5
P02_05.mts,8,122,130,4
P02_05.mts,9,131,168,4.5
P02_06.mts,1,39,54,4.5
P02_06.mts,2,55,81,4
P02_06.mts,3,82,112,4
P02_06.mts,4,113,150,1
P02_06.mts,5,151,182,4
P02_06.mts,6,183,208,3.5
P02_06.mts,7,209,229,3
P02_06.mts,8,230,255,3.5
P02_06.mts,9,256,318,5
P02_07.mts,1,9,22,5
P02_07.mts,2,23,40,5
P02_07.mts,3,41,60,3
P02_07.mts,4,61,86,1
P02_07.mts,5,87,114,4
P02_07.mts,6,115,131,3
P02_07.mts,7,132,153,3
P02_07.mts,8,154,173,3.5
P02_07.mts,9,174,228,5
P02_08.mts,1,43,54,4.5
P02_08.mts,2,55,66,4
P02_08.mts,3,67,77,3
P02_08.mts,4,78,95,1
P02_08.mts,5,96,114,4
P02_08.mts,6,115,125,3.5
P02_08.mts,7,126,135,3
P02_08.mts,8,136,148,3.5
P02_08.mts,9,149,192,5
P02_09.mts,1,42,57,4.5
P02_09.mts,2,58,76,4
P02_09.mts,3,77,83,3
P02_09.mts,4,84,98,1
P02_09.mts,5,99,112,3.5
P02_09.mts,6,113,121,3
P02_09.mts,7,122,131,2
P02_09.mts,8,132,141,3
P02_09.mts,9,142,180,5
P02_10.mts,1,44,57,4.5
P02_10.mts,2,58,74,3
P02_10.mts,3,75,81,2
P02_10.mts,4,82,93,1
P02_10.mts,5,94,104,3
P02_10.mts,6,105,110,2.5
P02_10.mts,7,111,120,3
P02_10.mts,8,121,128,2
P02_10.mts,9,129,162,4
